iter	Logloss
349	0.2492982737
350	0.2482234192
351	0.2474738566
352	0.2467969004
353	0.2461180878
354	0.245539271
355	0.2450986735
356	0.243972524
357	0.2430384318
358	0.2419971975
359	0.2417591858
360	0.2412705994
361	0.2403442891
362	0.2392697906
363	0.2387637075
364	0.2380903117
365	0.2375269318
366	0.2364927673
367	0.2353334554
368	0.2347058105
369	0.2336273702
370	0.2330883026
371	0.2322830963
372	0.2314202118
373	0.2310136922
374	0.2303221893
375	0.2293465678
376	0.2284605408
377	0.2274601746
378	0.2264223226
379	0.2256083679
380	0.2252994792
381	0.2245891317
382	0.2237456512
383	0.2236404165
384	0.2230543772
385	0.2223855591
386	0.2218098958
387	0.2210938517
388	0.2207933553
389	0.2199982707
390	0.2196838888
391	0.2191010793
392	0.2181982422
393	0.2176752472
394	0.2172618357
395	0.2167166138
396	0.2160057831
397	0.2156460317
398	0.2151883443
399	0.2144458516
400	0.2136307271
401	0.2127725983
402	0.212223142
403	0.2116186396
404	0.2112273153
405	0.2103905487
406	0.2096578598
407	0.2091672007
408	0.2083813985
409	0.20783535
410	0.2070857493
411	0.2065279643
412	0.2061399714
413	0.2053420893
414	0.2049213918
415	0.2042455419
416	0.2037764994
417	0.2032595189
418	0.2026173147
419	0.2019891739
420	0.201076533
421	0.2005148061
422	0.1998147329
423	0.1990822347
424	0.1985919189
425	0.1980098216
426	0.1974927648
427	0.1971588643
428	0.1965281296
429	0.1958221944
430	0.1950293223
431	0.1944368998
432	0.1941996892
433	0.1934864807
434	0.1934340413
435	0.1930550257
436	0.1927868907
437	0.192297287
438	0.1918046061
439	0.1913407389
440	0.1909907913
441	0.1903880946
442	0.1897786204
443	0.1894640605
444	0.1889435577
445	0.188377711
446	0.1878484599
447	0.1873381805
448	0.187111702
449	0.1865442022
450	0.1859912872
451	0.1854016622
452	0.1847761536
453	0.1840725962
454	0.1833664195
455	0.1833074697
456	0.1826173782
457	0.1821721776
458	0.1819400787
459	0.181439387
460	0.1808978526
461	0.1804353841
462	0.1800172933
463	0.1794608816
464	0.1789642588
465	0.1784691747
466	0.1778093974
467	0.1772248205
468	0.176607488
469	0.1758693441
470	0.1753796387
471	0.1748204295
472	0.1744363658
473	0.1739804713
474	0.1733717855
475	0.1731420644
476	0.1725167974
477	0.1721307627
478	0.1714772542
479	0.1711112467
480	0.1707462565
481	0.1703647359
482	0.1698500061
483	0.1696440887
484	0.1690550613
485	0.1684694926
486	0.1681120555
487	0.1676741536
488	0.1672525787
489	0.1667259216
490	0.1661882401
491	0.1656955973
492	0.1652691905
493	0.1648192851
494	0.1641837947
495	0.1636601003
496	0.1633543015
497	0.162912763
498	0.1622705332
499	0.1614006551
