iter	Logloss
0	0.6862645467
1	0.6787973531
2	0.6722229004
3	0.6655018107
4	0.6589141846
5	0.6544214376
6	0.6488975016
7	0.6434579468
8	0.6378277588
9	0.6322973124
10	0.6284153748
11	0.6237646993
12	0.6189660645
13	0.614405009
14	0.6109598796
15	0.6074130758
16	0.6038076274
17	0.6009337362
18	0.5983709208
19	0.5949596151
20	0.5912101237
21	0.5885097249
22	0.5856917826
23	0.5830759684
24	0.5802392578
25	0.5777191162
26	0.5750886027
27	0.5724985758
28	0.5702864583
29	0.5674863688
30	0.5650547282
31	0.5631769307
32	0.5611035156
33	0.5583944194
34	0.5559547933
35	0.5533995056
36	0.5514312236
37	0.5494688924
38	0.5472015381
39	0.5453129069
40	0.5437253316
41	0.5415444946
42	0.5398506673
43	0.5372746785
44	0.5349188232
45	0.5324966939
46	0.5304311117
47	0.5288823954
48	0.5274047343
49	0.5259732056
50	0.5244299316
51	0.5234216309
52	0.5216331482
53	0.5201879883
54	0.5185461426
55	0.5168629964
56	0.5150936381
57	0.514002889
58	0.5124831136
59	0.511054128
60	0.5094191996
61	0.5081238302
62	0.5069097392
63	0.5056970215
64	0.5037936401
65	0.5021965027
66	0.5006404622
67	0.4988458252
68	0.4979737854
69	0.4967929077
70	0.4955849202
71	0.4942087301
72	0.4929193624
73	0.4913491821
74	0.4901664734
75	0.4890348816
76	0.4877786255
77	0.4862978109
78	0.4853925578
79	0.4839221191
80	0.4826372782
81	0.4815296936
82	0.4802080282
83	0.4787390137
84	0.4779504903
85	0.4764312236
86	0.4752019246
87	0.4743248494
88	0.4728437297
89	0.4711660258
90	0.4701098633
91	0.4687386068
92	0.4672622681
93	0.4659867859
94	0.4645394897
95	0.4637339274
96	0.4627316284
97	0.4618904114
98	0.4610065715
99	0.4600672404
100	0.4591020711
101	0.4584221395
102	0.4571048482
103	0.4559266663
104	0.4553005473
105	0.4541271464
106	0.4532158407
107	0.4519703674
108	0.4510414632
109	0.4492918905
110	0.4479884847
111	0.4465518188
112	0.4454623922
113	0.4444199626
114	0.4439023844
115	0.442588857
116	0.4413675944
117	0.4403985596
118	0.4394011434
119	0.4380835978
120	0.4371250916
121	0.435699056
122	0.4346540324
123	0.4341120911
124	0.4326838175
125	0.4318551636
126	0.4308495076
127	0.429492391
128	0.4281050618
129	0.4276177979
130	0.4269188436
131	0.4258630625
132	0.4249606069
133	0.4239958191
134	0.4229630534
135	0.4214650981
136	0.4203070577
137	0.419239858
138	0.4180747986
139	0.4170498403
140	0.4163796234
141	0.415976766
142	0.4150001017
143	0.4140596008
144	0.4134934743
145	0.4125604757
146	0.4119677226
147	0.4112575785
148	0.4105356852
149	0.4095649719
150	0.4082593282
151	0.4076000977
152	0.4063146973
153	0.4057174174
154	0.4044412231
155	0.4038251241
156	0.4026928965
157	0.4017453512
158	0.4009074148
159	0.4002287801
160	0.3989733378
161	0.3984932963
162	0.3976519775
163	0.396927592
164	0.3958722941
165	0.395104599
166	0.3946168009
167	0.3939254761
168	0.3932857513
169	0.3924541219
170	0.3916573588
171	0.3911896006
172	0.3904914856
173	0.3894418335
174	0.3885341899
175	0.3880851237
176	0.3869163259
177	0.3866933695
178	0.3859712728
179	0.384820811
180	0.3840637716
181	0.3834659322
182	0.3821411133
183	0.3808351644
184	0.3793023682
185	0.3788165029
186	0.3783380127
187	0.3776419067
188	0.3766476695
189	0.3757476807
190	0.3753688304
191	0.3746961975
192	0.3739974467
193	0.3731878662
194	0.3725068156
195	0.3716795858
196	0.3710525767
197	0.3705533854
198	0.3696186829
199	0.3688835144
200	0.3682220459
201	0.3675543722
202	0.3668408712
203	0.3659794617
204	0.3654532369
205	0.3647168986
206	0.3638536072
207	0.3632886505
208	0.3624579112
209	0.3614731852
210	0.360713857
211	0.3598630778
212	0.3592912801
213	0.3590118408
214	0.3580734762
215	0.3570713806
216	0.3565748342
217	0.3557220968
218	0.3552775574
219	0.3543731435
220	0.3535049438
221	0.3525691732
222	0.3515893046
223	0.3506906382
224	0.3494432068
225	0.3483554586
226	0.3477310944
227	0.3468207296
228	0.34561704
229	0.3448885091
230	0.3441589355
231	0.3430644226
232	0.342343572
233	0.3418893433
234	0.3410720825
235	0.3403088379
236	0.3393006388
237	0.338659846
238	0.3380145772
239	0.3370834351
240	0.3363358561
241	0.3356369781
242	0.3348996989
243	0.3344693502
244	0.3332328796
245	0.3324073283
246	0.3316442617
247	0.331004893
248	0.3297812907
249	0.3289752706
250	0.3280686951
251	0.3272241211
252	0.3263897196
253	0.3251760101
254	0.3244019063
255	0.3236062876
256	0.3230666606
257	0.3218103027
258	0.3210656993
259	0.3207158407
260	0.320174586
261	0.3194168091
262	0.318637085
263	0.3175587972
264	0.3166501872
265	0.3156449382
266	0.314577179
267	0.3139816793
268	0.3128858948
269	0.3127189382
270	0.3120074463
271	0.3113367971
272	0.3100980886
273	0.3093611399
274	0.3087166087
275	0.3080872854
276	0.3076350403
277	0.3069277191
278	0.3053216807
279	0.3045185852
280	0.3036391449
281	0.303017629
282	0.3013722738
283	0.3002374776
284	0.2997956848
285	0.2986897278
286	0.2979998271
287	0.2974555969
288	0.2966265869
289	0.2958388519
290	0.2946927897
291	0.2937614441
292	0.2928371684
293	0.2922892507
294	0.2911386108
295	0.2903291829
296	0.2893071747
297	0.2885097758
298	0.2879925283
299	0.2866311391
300	0.2857344055
301	0.2851503499
302	0.2845061239
303	0.2837355042
304	0.2832069143
305	0.2824698385
306	0.2815217082
307	0.2807498169
308	0.2805242411
309	0.280095698
310	0.279561793
311	0.2789005025
312	0.2779681905
313	0.2773072561
314	0.2766927592
315	0.2759833781
316	0.2753717295
317	0.2752320353
318	0.274887085
319	0.273806661
320	0.27303538
321	0.2718845622
322	0.270589447
323	0.2702257792
324	0.2695429484
325	0.2685270691
326	0.2677739207
327	0.2670798747
328	0.2665450033
329	0.2658943431
330	0.2646548971
331	0.2640252177
332	0.2633772786
333	0.2624133301
334	0.261383311
335	0.260352122
336	0.2593908946
337	0.2587411245
338	0.2578929138
339	0.257163442
340	0.2563344828
341	0.2554842122
342	0.2545382182
343	0.2540543365
344	0.2535043589
345	0.2527255758
346	0.2521078491
347	0.2508986918
348	0.2501389313
